mid,name,rank,birthd0y,sign,level,vipType,vipStatus,following,fans
631613154,'bili_77265607444',5000,0,0,0,0,0,1,0
631613161,'bili_81302312581',5000,0,0,0,0,0,1,0
631613162,'bili_12929817841',5000,0,0,0,0,0,17,0
631613165,'bili_95638442124',10000,0,0,0,0,0,1,0
631613166,'半知yu',10000,1,1,1,2,1,645,6
631613167,'GXG大哥',10000,0,0,1,1,1,81,0
631613174,'bili_83890044601',10000,0,0,0,0,0,0,0
631613175,'姥爷00000',10000,0,0,0,1,0,1,0
631613177,'bili_65699800304',5000,0,0,0,0,0,1,0
631613180,'bili_11958051108',10000,0,0,0,0,0,4,0
631613188,'bili_48674777611',10000,0,0,0,1,0,0,0
631613191,'憨憨柔o',5000,0,1,0,0,0,43,0
631613197,'碗家老十二',10000,0,0,1,0,0,7,0
631613200,'bili_99493602514',10000,0,0,0,0,0,1,0
631613202,'bili_26993677919',10000,0,0,0,1,0,0,0
631613203,'东野鹤鸣',5000,1,0,0,0,0,4,0
631613206,'茶蔸蔸',10000,0,0,0,0,0,1,0
631613214,'bili_96090843526',10000,0,0,0,0,0,10,0
631613216,'是瑶瑶wa',10000,0,0,0,0,0,15,0
631613219,'小玉要瘦',10000,0,0,0,1,1,2,0
631613220,'bili_46001541278',5000,0,0,0,0,0,1,0
631613223,'bili_90722902636',5000,0,0,0,0,0,1,0
631613224,'拾荒蛋糕兔',10000,0,1,1,0,0,12,0
631613249,'Kn1feTT',5000,0,0,0,0,0,1,0
631613267,'bili_71658829618',5000,0,0,0,0,0,2,0
